LOOKUP 109

LABEL 1410
DATA (0.25, 0.0)
DATA (0.5, 0.2587812411934979)
DATA (0.75, 0.362450679421924)
DATA (1.0, 0.43749573890039484)
DATA (1.25, 0.10090729847304579)
DATA (1.5, 0.30131141570704467)
DATA (1.75, 0.4032057136106103)
DATA (2.0, 0.36811785401922664)
DATA (2.25, 0.5428057418877724)
DATA (2.5, 0.45005995876883537)
DATA (2.75, 0.2260671726134278)
DATA (3.0, 0.25691956826032303)
DATA (3.25, 0.2877941967572946)
DATA (3.5, -0.03306600688916306)
DATA (3.75, 0.00012100206837371873)
DATA (4.0, 0.5077089413534902)
DATA (4.25, 0.5045315100928898)
DATA (4.5, -0.04296590729544231)
DATA (4.75, 0.45618346777220836)
DATA (5.0, -0.21525346215878732)
DATA (5.25, -0.14855593088814212)
DATA (5.5, 0.26408631199453786)
DATA (5.75, 0.2329252663357953)
DATA (6.0, 0.1984861140631636)
DATA (6.25, -0.13421822900569233)
DATA (6.5, -0.2573844395757176)
DATA (6.75, 0.4797238159526064)
DATA (7.0, 0.06447088327480835)
DATA (7.25, 0.14991974972578087)
DATA (7.5, -0.2613973469007398)
DATA (7.75, 0.2348007009841755)
DATA (8.0, -0.27160479404265575)
DATA (8.25, 0.07740965712154556)
DATA (8.5, -0.032038203616185965)
DATA (8.75, 0.46732422538392326)
DATA (9.0, 0.5718115202896763)
DATA (9.25, 0.5747428429808744)
DATA (9.5, 0.10686369999378621)
DATA (9.75, 0.46978646451184125)
DATA (10.0, 0.13450683845948005)
DATA (10.25, 0.2194046210935461)
DATA (10.5, 0.3637991322373318)
DATA (10.75, -0.04907176520846105)
DATA (11.0, -0.045809276486986836)
DATA (11.25, 0.3659870933184405)
DATA (11.5, 0.13455191696034013)
DATA (11.75, 0.47273820444657644)
DATA (12.0, -0.04251727350853153)
DATA (12.25, 0.5404261182628605)
DATA (12.5, 0.17998347788843388)
DATA (12.75, 0.38498542219857035)
DATA (13.0, 0.15599148412214373)
DATA (13.25, 0.10055917864906269)
DATA (13.5, -0.11804294725422444)
DATA (13.75, 0.5062528863144503)
DATA (14.0, -0.2932880646003784)
DATA (14.25, -0.29704545889934614)
DATA (14.5, -0.1362215845403003)
DATA (14.75, -0.07446151007737763)
DATA (15.0, -0.27727924733499376)
DATA (15.25, 0.005336846400185195)
DATA (15.5, 0.14224479984069358)
DATA (15.75, 0.06884038329147733)
DATA (16.0, -0.15137735901815647)
DATA (16.25, 0.08113307769827627)
DATA (16.5, 0.09406130087266523)
DATA (16.75, 0.3110862986071679)
DATA (17.0, 0.17437226399526237)
DATA (17.25, 0.13850126112222622)
POLY (-0.0001579466638305646, 0.004271976007779394, -0.04436619151286933, 0.32396684766349476)

LABEL 1430
DATA (0.25, 0.0)
DATA (0.5, 0.679218240866077)
DATA (0.75, 0.3387411851274943)
DATA (1.0, 0.01673011476593199)
DATA (1.25, 0.28943437413247086)
DATA (1.5, 0.5151525428838912)
DATA (1.75, 0.1300527503861014)
DATA (2.0, 0.30921812900307344)
DATA (2.25, 0.41768366490087344)
DATA (2.5, 0.60967478858353)
DATA (2.75, 0.7463838127707656)
DATA (3.0, 0.35267699773343214)
DATA (3.25, 0.33486185761866993)
DATA (3.5, 0.35176056888328133)
DATA (3.75, 0.775610246827083)
DATA (4.0, 0.464044972036069)
DATA (4.25, 0.42589365124931305)
DATA (4.5, 0.33452175663481626)
DATA (4.75, -0.08564097346856339)
DATA (5.0, 0.12259120308640528)
DATA (5.25, 0.19687913201557097)
DATA (5.5, 0.06732977328509328)
DATA (5.75, 0.43352682531742426)
DATA (6.0, -0.2833996430310379)
DATA (6.25, -0.08558020826120641)
DATA (6.5, 0.04212336375875429)
DATA (6.75, 0.3227500431220246)
DATA (7.0, 0.4693902920247009)
DATA (7.25, 0.0982497546360358)
DATA (7.5, -0.026575126851533504)
DATA (7.75, -0.049708641241065235)
DATA (8.0, -0.10096019229041323)
DATA (8.25, 0.16846317452796886)
DATA (8.5, -0.07966910677693771)
DATA (8.75, 0.632393034550285)
DATA (9.0, 0.18771659650366887)
DATA (9.25, 0.26854107609160865)
DATA (9.5, 0.4954845159130115)
DATA (9.75, 0.6864816806663401)
DATA (10.0, 0.37252999684940763)
DATA (10.25, 0.49917515245088595)
DATA (10.5, 0.3687297695601508)
DATA (10.75, -0.00889672467143368)
DATA (11.0, 0.3128918711213802)
DATA (11.25, 0.2815338680781515)
DATA (11.5, 0.4537201348757532)
DATA (11.75, 0.23629892838447747)
DATA (12.0, 0.21239262853444849)
DATA (12.25, 0.40970227414716803)
DATA (12.5, 0.17912890129281756)
DATA (12.75, 0.4682307231784639)
DATA (13.0, -0.13296416788115534)
DATA (13.25, 0.20418110976424655)
DATA (13.5, 0.411372341644442)
DATA (13.75, 0.2344507149785)
DATA (14.0, -0.04801746648890459)
DATA (14.25, -0.015607202689076834)
DATA (14.5, 0.31467539219188395)
DATA (14.75, 0.8618465244301589)
DATA (15.0, 0.528815059360962)
DATA (15.25, 0.7479880929033248)
DATA (15.5, 0.582311538891648)
DATA (15.75, 0.37946975471682726)
DATA (16.0, 0.1270169196166618)
DATA (16.25, 0.6489549379667803)
DATA (16.5, 0.7490085781129512)
DATA (16.75, 0.5819640615302369)
DATA (17.0, 0.7420071137907859)
DATA (17.25, 0.5575555272875066)
POLY (0.00028930399703683144, -0.0033566884238805323, -0.010871217917156678, 0.3696660476004345)

LABEL 1450
DATA (0.25, 0.0)
DATA (0.5, 0.2388657484258624)
DATA (0.75, 0.39735816950658726)
DATA (1.0, 0.3055339250329237)
DATA (1.25, 0.21090966933238342)
DATA (1.5, 0.3876575866564)
DATA (1.75, 0.28542331845448565)
DATA (2.0, 0.30832395221855463)
DATA (2.25, 0.11136578121152059)
DATA (2.5, 0.3294531051075167)
DATA (2.75, 0.15206275815162748)
DATA (3.0, 0.504200570839086)
DATA (3.25, 0.162831897633856)
DATA (3.5, 0.3189161685748304)
DATA (3.75, 0.3630113054907431)
DATA (4.0, 0.303977351701662)
DATA (4.25, 0.3092581459292163)
DATA (4.5, 0.3747092888101598)
DATA (4.75, 0.3913926043657392)
DATA (5.0, 0.3706942812117179)
DATA (5.25, 0.02039705908279523)
DATA (5.5, 0.21006969019736138)
DATA (5.75, 0.19441048560555615)
DATA (6.0, 0.2179181013339022)
DATA (6.25, -0.1411683952262324)
DATA (6.5, 0.04285927858616338)
DATA (6.75, 0.10764069241788171)
DATA (7.0, 0.02440967060648627)
DATA (7.25, 0.07016443312682405)
DATA (7.5, 0.49961849181292445)
DATA (7.75, 0.0879337234976299)
DATA (8.0, 0.46434509497983334)
DATA (8.25, 0.4199322700921909)
DATA (8.5, 0.2633705964076994)
DATA (8.75, 0.5886685683120619)
DATA (9.0, -0.10521688001226066)
DATA (9.25, 0.279342988619473)
DATA (9.5, 0.29800265650665886)
DATA (9.75, 0.5271180070951106)
DATA (10.0, 0.09258636054029644)
DATA (10.25, 0.1017171636781476)
DATA (10.5, 0.500170751515779)
DATA (10.75, -0.07371210828463118)
DATA (11.0, 0.17106015145123696)
DATA (11.25, 0.15856890445250732)
DATA (11.5, 0.23006108437863368)
DATA (11.75, 0.14165091737471883)
DATA (12.0, 0.07779101363379856)
DATA (12.25, 0.2433024027552164)
DATA (12.5, 0.14028017156220998)
DATA (12.75, 0.05163785089732535)
DATA (13.0, 0.05274195991208707)
DATA (13.25, 0.02206598814416417)
DATA (13.5, 0.03485891979655312)
DATA (13.75, 0.10383402338118751)
DATA (14.0, -0.11729724158119048)
DATA (14.25, 0.2885038979506757)
DATA (14.5, -0.06955209674073208)
DATA (14.75, 0.304424724549245)
DATA (15.0, 0.15711671795517637)
